Compression ratio	Teacher params	Student params
1	65	65
1	53.7	53.7
3.64	1200	330
18.18, 7.06	600	330
2.6, 87.8, 41.54	54000	615
5.21	1100	211
1	100	100
1	100	100
1	209	209
1	65	65
1	11.9	11.9
1	19.2	19.2
1	76.9	76.9
1	76.9	76.9
13.6	680	50
50.77	3300	65
9.23	600	65
41.54	54000	1300
2.98, 2.10, 1.66, 5.15, 14.15	48.2	11.4
3.07, 8.03, 6.50, 3.09, 1.23	65  22	
2.29, 1.70, 2.08, 2.59, 3.40, 4.98	474	95.4
1	65	65
1	65	65
1	52.3	52.3
1	65	65
2,8,24	103.6	11.3
1.66	100	60
1	65	65
1	65	65
1	65	65
1	65	65
1	65	65
1	65	65
1	65	65
1	65	65
1.23	108	88
1	65	65
1	65	65
1	65	65
differnet sizes of teachers...	218	16
1, 6.4	9	1.4
1	65	65
1	65	65
1, 3.2	209	65
1, 3.2	209	65
20	20	1
1.26	82	65
1	65	65
3.28	213	65
2.34	866	37
3.63	18.9	5.2
3.28	213	65
2.98	194	65
5.5	55	10
1.69	110	65
3.248	406	125
12	3000	250
1	2.7	2.7
1	242	242
1	313	313
1	100 100
20	1.300	65
0.5	22	44
20	1.300	65
1	100 100
1	100 100
1.63	77	47
1	100 100
1	100 100
4.5 / 2.66	9	2
?	286	62
1	65	65
1	65	65
1	65	65
1.5, 1.33	64	48
1	65	65
4.3	13	3.3
? 229	45
1.85	13	7
?	52	22
1	7	7
1	133	133
1	65	65
3.6	65	18
3.38	220	65
14.9	269.7	18.1
