Metric
BLEU
BLEU
spBLEU
ChrF, BLEU
ChrF++
ChrF++
BLEU
BLEU
BLEU
BLEU
BLEU
BLEU
BLEU
BLEU
BLEU
BLEU
BLEU
ChrF, BLEU
BLEU, spBLEU
ChrF
BLEU, ChrF++
spBLEU, ChrF++
BLEU
BLEU, ChrF++
BLEU, ChrF++
BLEU
BLEU
BLEU
BLEU
BLEU
BLEU
BLEU
BLEU
BLEU
BLEU, wait-k
BLEU, wait-k
BLEU, ChrF, COMET, mean per token entropies, Kendall tau
BLEU, AER
BLEU
BLEU, COMET
BLEU
BLEU
BLEU
BLEU, COMET
BLEU
BLEU
BLEU
BLEU
BLEU
BLEU
BLEU
BLEU, PPL
BLEU
BLEU, METEOR, WER, ROUGE-L, ECE, MCE
BLEU, COMET
BLEU, COMET
BLEU, TER

BLEU, BERTScore
BLEU, PPL
PPL, BLEU
BLEU
BLEU, ChrF, COMET
BLEU, ChrF, TER
BLEU
BLEU, COMET
BLEU
spBLEU, ChrF, BERTScore
BLEU
BLEU, ChrF, COMET
BLEU
ChrF, Comet
BLEU
BLEU, TER
ChrF++
BLEU, ChrF
BLEU
ChrF
BLEU, Average Lagging, Hallucination Rate
BLEU, Average Lagging
ChrF
BLEU
BLEU
COMET
CoD, AoLC, BLEU
BLEU, PPL, Speed
BLEU, flops, PPL
BLEU
BLEU, length
BLEURT, MetricX, Chrf, COMET, BLEU

BLEU
BLEU, ECE
COMET, BLEU, BLEURT
BLEU, Speed
BLEU, COMET
BLEU, ChrF, BLEURT, COMET
BLEU
COMET, Accuracy
COMET, BLEU, ChrF

BLEU
COMET
BLEU
BLEU, Accuracy
