Type
Word-KD, Seq-KD
Word-KD, Seq-KD
Word-KD, Seq-KD
Word-KD
Word-KD
Seq-KD
Word-KD
Word-KD, Seq-KD
Seq-KD
Seq-KD
Word-KD
Seq-KD
Seq-KD
Seq-KD
Word-KD
Word-KD
Word-KD
Seq-KD
Word-KD, Seq-KD
Word-KD
Word-KD
Word-KD
Word-KD
Word-KD, Seq-KD
Seq-KD
Seq-KD
Seq-KD
Word-KD
Word-KD
Word-KD
Word-KD
Word-KD
Seq-KD
Seq-KD
Seq-KD
Seq-KD
Seq-KD
Word-KD
Word-KD; Seq-KD
Word-KD
Word-KD
Word-KD
Word-KD
Seq-KD
Seq-KD
Word-KD
Seq-KD
Word-KD
Seq-KD
Seq-KD
Seq-KD
Feature-KD
Word-KD
Word-KD
Word-KD
Seq-KD
Seq-KD
Seq-KD
Seq-KD
Seq-KD
Seq-KD
Seq-KD
Seq-KD
Seq-KD
Seq-KD
