Dataset
IWSLT14, IWSLT15, IWSLT16, WMT16, TED Talks
TED Talks
CCAligned, CCMatrix, Flores+, Tatoeba, Tico-19
-
Wikipedia
BPCC
CWMT17,CWMT18,CWMT19
News Commentary v13, WMT17, WMT18
IWSLT14, IWSLT15, IWSLT17
EuroParl, WMT06
TED Talks
WMT?, TED Talks, NewsCrawl?
WMT22, Flores+
IWSLT14, TED Talks
TED Talks
TED Talks, WMT14, WMT16, WMT17, WMT18
TED Talks, WMT14, WMT16, WMT17, WMT18
Samanantar, Flores+
Samanantar, Flores+
OpenSubtitles, AmericasNLP
Gierschek (2022), Flores+, Tatoeba
BBC
Asian Languages Treebank, IWSLT15, IITB
AmericasNLP, Feldman and Coto-Solano (2020), GGNET Swara, Indian Institute of Technology, Flores+, WAT2021, Samanantar, Tatoeba
Samanantar, Flores+
IWSLT15, IWSLT10, NIST02, IWSLT11, IWSLT12, NIST03, NIST04, NIST05, NIST06, TED Talks, WMT14, OPUS
WMT14, OPUS
OpenSubtitles, WMT17, UM
WMT17, UM, WMT14, WMT19, WMT16, IWSLT15
OpenSubtitles, WMT17, COPPA v2.0, TED Talks
Europarl, OPUS, WMT14, WMT19, MTNT, TED Talks
NIST?, WMT17, IWSLT15
TED Talks, CCMT-19, KFTT, WMT17
LDC, AI Challenger 2017, TED Talks, OpenSubtitles, WMT20, NIST02, , NIST03, NIST04, NIST05, NIST06, NIST07, NIST08, NIST09
WMT15, CWMT19, IWSLT15
CWMT08, CWMT09, CWMT11, WMT2020
IWSLT21, WMT21
WMT17, NIST?
LDC, WMT16, WMT17
WMT14, WMT19
PC32, MC24
WMT14, WMT16, IWSLT14
WMT14, IWSLT14
WMT14, WMT16
WMT16, WMT14, NewsCrawl2015, Europarl, Newcrawl07, NewsCrawl08
Europarl, WMT14
TED Talks
IWSLT14
WMT14
WMT14, WMT16, WMT17, WAT17, WMT19
WMT14, WMT16, WMT17, WAT17
WMT14, IWSLT15
WMT14, WMT19
IWSLT14, IWSLT15, Multi30K
WMT14, WMT16
IWSLT14, WMT16, WMT14
WMT16
WMT14
IWSLT14, IWSLT17
WMT16,  NIST12, WMT19
IWSLT14, WMT16
OSCAR
WMT21, WMT20
WMT16
WMT14
Flores+
WMT10
Flores+
Flores+
Flores+
500 entries extracted from the dictionary of the Ministry of Education
Flores+
Flores+
Autshumato project, IWSLT14, WMT18, WMT16
Flores+
UM-Corpus, OPUS
OPUS
OPUS
NIST, NewsTest15
MT03, MT04, MT05, MT06, MT08, NewsTest15
IN22 Gen corpus
Own financial test set
TED Talks
OPUS
WMT14, WMT16, WMT17, WMT19, WAT17
WMT16, NIST12, WMT19, NewsTest16, NewsTest14, NewsTest18, NewsTest19, MT06, MT04, MT08
WMT14, IWSLT14, IWSLT13
WMT17, WMT14, NewsTest17, NewsTest13, NewsTest14
IWSLT14, IWSLT15, IWSLT17
WMT21, WMT22

IWSLT14, IWSLT22
Multi30K, IWSLT15, IWSLT14
WMT22
WMT16, NIST12, WMT14
WMT12 
WMT22, Flores+
IWSLT14, NewsTest13, NewsTest14
WMT17, WMT20, Flores+, WMT22
IWSLT14, WMT14, WMT15, OPUS
WMT14, WMT18, WMT17
Europarl, WMT20
WMT20
IWSLT14
WMT19
